# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
4.189399720000000116e+01 4.235188643359366038e-09 1.000572096647799062e-10 -7.609699999999999420e+01 4.414090999999999987e-01 6.685330000000000439e-01 6.249239000000000183e-03 1.784147743169537864e-05 3.129622714880987312e-09 3.897000000000000000e+03 2.040000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
4.608339555000000587e+01 3.783164497118047511e-09 9.925671447220001222e-11 -7.609699999999999420e+01 6.244001999999999608e-01 6.685330000000000439e-01 8.817999999999999450e-03 1.939025826695847760e-05 3.396706134797398856e-09 4.705000000000000000e+03 2.250000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
5.069173304999999630e+01 3.459027952724180758e-09 9.856914380694003762e-11 -7.609699999999999420e+01 4.182716000000000212e-01 6.685330000000000439e-01 5.918116000000000175e-03 2.110889374998586304e-05 3.696561503440506347e-09 5.703000000000000000e+03 2.470000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
5.576091114999999832e+01 3.055489461614519901e-09 9.799092929489674068e-11 -7.609699999999999420e+01 2.711625999999999759e-01 6.685330000000000439e-01 3.832737000000000123e-03 2.296574533626009196e-05 4.024174231995573843e-09 6.903000000000000000e+03 2.720000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
6.133700295000000580e+01 2.441967885320499797e-09 9.695729422566255709e-11 -7.609699999999999420e+01 2.226704999999999934e-01 6.685330000000000439e-01 3.149290999999999809e-03 2.482331806631735623e-05 4.379461334338301773e-09 8.343000000000000000e+03 2.990000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
6.747070530000000588e+01 1.790572130327698485e-09 9.573180023698881633e-11 -7.609699999999999420e+01 1.893154999999999977e-01 6.685330000000000439e-01 2.676786999999999916e-03 2.651964866579055701e-05 4.769514750116509080e-09 1.010100000000000000e+04 3.290000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
7.421776350000000377e+01 1.345256377256868879e-09 9.502951769205479759e-11 -7.609699999999999420e+01 2.075635000000000119e-01 6.685330000000000439e-01 2.934049000000000205e-03 2.806553181421637589e-05 5.196887168874788941e-09 1.223300000000000000e+04 3.620000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
8.163953300000000013e+01 1.028825203834340487e-09 9.452301183807043250e-11 -7.609699999999999420e+01 1.794779999999999986e-01 6.685330000000000439e-01 2.538231000000000168e-03 2.950710760200380507e-05 5.662401703100064831e-09 1.479100000000000000e+04 3.980000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
8.980349999999999966e+01 7.715888638048791424e-10 9.411448799953789486e-11 -7.609699999999999420e+01 1.922413000000000038e-01 6.685330000000000439e-01 2.717578000000000008e-03 3.086227725287868590e-05 6.176409621626049043e-09 1.789700000000000000e+04 4.380000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
9.878385000000001526e+01 5.830942928404339804e-10 9.383325217832915791e-11 -7.609699999999999420e+01 2.171566000000000052e-01 6.685330000000000439e-01 3.074555000000000083e-03 3.209241555658145899e-05 6.740969884610008683e-09 2.164700000000000000e+04 4.810000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
