# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
1.615194380000000152e+01 1.333984240859863352e-08 1.129247681627295315e-10 -7.028289999999999793e+01 4.218645999999999785e-01 5.712770000000000348e-01 5.697970999999999592e-03 6.868637450317167976e-06 1.534304448706389753e-09 7.550000000000000000e+02 9.200000000000000000e+01 5.666728000000000520e+02 4.240471999999999753e+02 0.000000000000000000e+00
1.776713954999999956e+01 1.233690669236155607e-08 1.114442806323752039e-10 -7.089063000000000159e+01 3.811285999999999841e-01 5.845957000000000514e-01 5.211045000000000087e-03 7.628361957467663463e-06 1.641718171523295397e-09 8.810000000000000000e+02 9.900000000000000000e+01 5.667816000000000258e+02 4.240624000000000251e+02 0.000000000000000000e+00
1.954385145000000179e+01 1.154482329821028397e-08 1.102225372085589923e-10 -7.149698999999999671e+01 3.680248999999999882e-01 6.047301000000000482e-01 5.079125000000000306e-03 8.334419787180145356e-06 1.740461647716917521e-09 1.007000000000000000e+03 1.060000000000000000e+02 5.665548999999999751e+02 4.239743000000000279e+02 0.000000000000000000e+00
2.149823180000000278e+01 1.097433044550132181e-08 1.099557712750728339e-10 -7.179673999999999978e+01 4.074842000000000186e-01 6.298422999999999661e-01 5.696086999999999852e-03 9.058478114957434145e-06 1.839725910659055526e-09 1.143000000000000000e+03 1.120000000000000000e+02 5.662791999999999462e+02 4.239008000000000038e+02 0.000000000000000000e+00
2.364805635000000095e+01 1.060173618929754501e-08 1.106326709642292666e-10 -7.188697000000000514e+01 4.750150000000000206e-01 6.575347999999999749e-01 6.732293000000000305e-03 9.777133483664178409e-06 1.935679851368254375e-09 1.283000000000000000e+03 1.170000000000000000e+02 5.659054999999999609e+02 4.238088999999999942e+02 0.000000000000000000e+00
2.601286130000000441e+01 9.949740650862989895e-09 1.096807768618959337e-10 -7.250122000000000355e+01 3.632288000000000183e-01 6.767398999999999498e-01 5.140310000000000365e-03 1.070153398332145247e-05 2.057107076907208460e-09 1.473000000000000000e+03 1.250000000000000000e+02 5.655463999999999487e+02 4.237273000000000138e+02 0.000000000000000000e+00
2.861414880000000238e+01 8.924977208439523471e-09 1.082014450059880371e-10 -7.375155999999999779e+01 3.612155000000000227e-01 6.857596999999999721e-01 5.123242000000000074e-03 1.181879549052251491e-05 2.206304551715452571e-09 1.729000000000000000e+03 1.350000000000000000e+02 5.641748000000000047e+02 4.233946000000000254e+02 0.000000000000000000e+00
3.147556505000000371e+01 7.722074091912317718e-09 1.051014029015127547e-10 -7.425898999999999717e+01 2.180508999999999920e-01 6.903101000000000376e-01 3.097612000000000022e-03 1.311516008036767694e-05 2.381657966431686020e-09 2.061000000000000000e+03 1.470000000000000000e+02 5.624918999999999869e+02 4.229331000000000245e+02 0.000000000000000000e+00
3.462312635000000682e+01 6.341469412647313878e-09 1.030045915474822455e-10 -7.453972000000000264e+01 2.565199000000000229e-01 6.895175999999999528e-01 3.642909000000000164e-03 1.453161571419598644e-05 2.586611998253949775e-09 2.497000000000000000e+03 1.620000000000000000e+02 5.623624999999999545e+02 4.228086999999999875e+02 0.000000000000000000e+00
3.808543829999999986e+01 5.617658539350886482e-09 1.015673979936616914e-10 -7.498073999999999728e+01 1.997126999999999930e-01 7.014740999999999893e-01 2.837506000000000056e-03 1.565664871634719484e-05 2.759132810326217359e-09 2.903000000000000000e+03 1.740000000000000000e+02 5.638976000000000113e+02 4.230656000000000176e+02 0.000000000000000000e+00
